N,P,K,temperature,humidity,ph,rainfall,label
111,51,57,29.53,89.69,5.5,230.12,rice
84,48,40,28.92,71.51,6.74,153.82,rice
88,59,59,20.84,82.07,6.59,191.44,rice
92,51,40,24.57,86.53,5.72,240.39,rice
115,47,50,25.42,88.26,6.71,210.45,rice
87,47,55,23.44,87.3,6.75,230.72,rice
95,41,44,27.02,87.81,5.74,191.34,rice
119,48,59,25.45,78.33,6.59,170.71,rice
82,58,55,21.38,71.06,5.77,216.36,rice
83,59,55,24.78,79.22,6.46,198.69,rice
86,47,45,26.21,88.94,6.68,201.66,rice
114,43,58,22.09,83.2,6.29,262.28,rice
109,57,51,24.97,89.51,5.81,194.85,rice
85,57,58,20.8,82.14,6.45,206.69,rice
103,53,55,26.98,76.83,6.73,166.49,rice
109,51,48,22.4,89.38,5.93,172.1,rice
83,51,41,25.24,77.48,6.89,274.47,rice
108,57,54,21.74,77.31,5.79,224.79,rice
112,51,58,28.45,77.37,6.16,203.49,rice
82,48,57,23.9,83.16,6.04,203.48,rice
95,46,50,25.48,81.22,5.61,283.84,rice
87,48,56,27.11,87.63,6.54,189.93,rice
119,47,43,28.32,74.06,6.39,250.49,rice
102,45,42,29.11,89.85,5.59,289.27,rice
117,52,58,25.09,85.66,6.89,151.17,rice
109,43,48,22.47,76.27,6.61,202.81,rice
84,57,58,23.16,82.81,5.65,255.55,rice
92,45,49,21.84,74.48,5.5,184.02,rice
94,50,51,29.17,82.07,6.18,197.02,rice
109,55,56,27.74,88.97,6.72,222.35,rice
101,46,55,29.0,78.41,5.94,177.64,rice
119,40,54,22.65,78.93,6.97,262.81,rice
86,53,40,20.67,82.46,6.58,217.61,rice
110,54,47,21.5,82.18,6.79,151.74,rice
102,40,43,21.26,85.18,5.76,264.44,rice
119,40,52,27.1,72.16,6.11,150.18,rice
87,48,57,26.81,85.47,6.28,166.45,rice
97,52,40,21.98,70.73,6.87,150.86,rice
93,46,55,25.92,76.74,6.26,153.56,rice
114,45,54,24.06,81.52,6.54,279.58,rice
97,40,52,23.06,86.52,6.36,187.22,rice
109,49,45,25.57,89.88,6.13,255.99,rice
117,54,47,28.25,71.25,6.67,160.07,rice
83,46,49,22.51,80.95,5.52,160.79,rice
108,49,55,25.77,74.15,6.89,188.66,rice
118,55,50,25.28,76.77,6.76,206.04,rice
104,59,51,23.97,72.39,6.36,177.41,rice
104,54,54,27.04,84.3,6.92,168.26,rice
110,55,41,26.31,79.48,5.52,233.39,rice
105,43,49,23.74,72.01,6.73,228.31,rice
86,41,56,29.16,89.19,6.96,233.33,rice
107,59,45,22.3,74.53,6.49,221.67,rice
83,49,52,29.23,75.74,6.5,246.99,rice
113,40,43,24.51,80.28,5.56,207.14,rice
89,53,43,29.54,83.09,5.82,169.02,rice
110,44,41,27.9,81.42,6.9,163.66,rice
92,42,47,29.66,89.42,5.57,288.04,rice
107,51,47,26.72,88.74,6.3,223.09,rice
107,54,54,25.19,80.71,6.81,154.58,rice
98,45,53,28.65,88.24,6.66,155.28,rice
103,48,53,27.12,84.45,7.0,154.84,rice
94,56,59,26.17,87.18,6.57,246.7,rice
109,50,43,21.04,77.29,5.82,165.43,rice
104,52,46,27.96,85.96,6.23,274.57,rice
101,50,52,26.23,77.83,5.9,159.51,rice
96,56,45,22.31,70.01,6.27,270.63,rice
118,46,53,20.8,77.16,6.25,267.2,rice
82,42,58,24.03,78.04,6.27,252.3,rice
84,46,58,27.53,76.71,6.55,282.5,rice
86,47,41,23.15,88.0,6.01,296.19,rice
