State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Yield
Karnataka,soybean,Kharif,13.76,397.6,335.0,38.07
Tamil Nadu,groundnut,Kharif,16.57,771.64,183.5,40.96
Punjab,groundnut,Kharif,3.97,1639.01,307.75,49.58
Tamil Nadu,tea,Zaid,17.58,2801.45,336.66,60.0
Punjab,turmeric,Rabi,5.71,529.96,272.77,44.56
Odisha,rice,Rabi,4.74,2459.64,265.27,55.56
Telangana,groundnut,Zaid,16.13,2591.22,65.51,49.46
Karnataka,soybean,Rabi,18.02,1623.09,296.78,50.94
Kerala,maize,Zaid,17.81,2186.92,180.86,52.49
Bihar,cumin,Zaid,5.97,1911.66,195.85,35.45
Uttar Pradesh,rice,Rabi,16.19,2453.12,246.37,61.58
Punjab,soybean,Zaid,2.08,1351.58,72.51,36.03
Maharashtra,wheat,Rabi,4.0,2594.74,153.18,53.54
Bihar,sugarcane,Zaid,1.08,1451.47,77.94,84.38
Telangana,cotton,Zaid,7.78,1332.15,216.9,46.67
Odisha,coffee,Rabi,11.31,2033.1,114.74,42.43
Punjab,maize,Rabi,13.67,2793.88,61.69,41.24
Maharashtra,millet,Kharif,1.42,501.32,227.5,34.38
Odisha,chilli,Zaid,4.92,2670.78,167.76,51.66
West Bengal,pulses,Zaid,9.42,398.86,244.83,24.06
Kerala,groundnut,Zaid,7.58,1067.19,279.33,43.33
Andhra Pradesh,rice,Zaid,8.16,1157.37,159.96,47.18
Punjab,coffee,Rabi,18.0,2797.83,231.76,47.09
Uttar Pradesh,coriander,Kharif,14.9,2157.36,290.52,45.98
Odisha,ginger,Zaid,6.58,1714.66,143.47,41.04
Odisha,cotton,Kharif,9.67,941.33,113.79,27.96
Uttar Pradesh,cotton,Rabi,3.9,640.88,157.03,28.16
Andhra Pradesh,millet,Zaid,18.01,1039.69,205.37,33.58
Haryana,maize,Rabi,16.34,2058.8,102.7,47.48
Punjab,soybean,Rabi,16.19,692.07,333.36,42.54
Karnataka,tea,Rabi,8.22,2868.53,80.12,46.54
Haryana,wheat,Zaid,2.73,413.99,99.5,34.22
Uttar Pradesh,tea,Rabi,11.98,1391.48,243.32,45.41
Rajasthan,millet,Zaid,4.38,2031.07,201.0,39.31
Haryana,rice,Zaid,12.47,2971.33,77.54,54.58
Bihar,turmeric,Kharif,14.72,959.61,330.01,42.87
Bihar,turmeric,Rabi,2.25,1206.01,99.4,38.8
Odisha,chilli,Zaid,5.76,2437.47,197.3,54.64
Madhya Pradesh,soybean,Kharif,7.02,2921.23,61.94,54.62
Kerala,chilli,Kharif,18.76,2330.01,216.04,45.17
Andhra Pradesh,tea,Rabi,17.98,2758.85,334.79,56.29
Kerala,cumin,Kharif,4.64,2404.88,47.61,36.44
Maharashtra,chilli,Zaid,18.17,2953.11,52.45,47.29
Uttar Pradesh,millet,Zaid,10.47,1770.07,223.15,42.81
Rajasthan,millet,Zaid,2.21,793.81,206.79,31.13
Madhya Pradesh,soybean,Zaid,20.0,1734.73,84.19,43.97
Punjab,rice,Kharif,14.0,422.39,51.36,38.67
Assam,coffee,Zaid,6.22,1122.46,313.59,37.9
Uttar Pradesh,soybean,Rabi,15.36,2255.64,154.03,44.44
Tamil Nadu,soybean,Kharif,16.43,1281.56,115.31,37.65
Uttar Pradesh,ginger,Rabi,12.85,2470.58,224.7,50.77
Karnataka,pulses,Kharif,15.44,1688.94,143.32,30.89
Odisha,rice,Rabi,6.21,507.24,64.13,30.22
West Bengal,coriander,Rabi,13.67,342.67,189.59,23.67
Odisha,millet,Zaid,16.32,2549.23,165.63,45.45
Bihar,ginger,Rabi,18.0,523.02,171.82,34.51
Madhya Pradesh,ginger,Kharif,10.79,2967.61,250.71,54.87
Haryana,wheat,Rabi,9.37,2236.6,99.52,51.3
Kerala,turmeric,Zaid,19.51,1156.25,139.33,42.23
Bihar,pulses,Rabi,2.77,1995.59,338.73,44.25
Telangana,cotton,Rabi,6.62,2027.24,329.76,43.65
Assam,tea,Zaid,15.05,1841.06,242.1,43.73
Odisha,pulses,Kharif,1.18,2677.9,157.67,45.76
Karnataka,pulses,Rabi,10.81,2690.45,200.42,42.29
Kerala,soybean,Zaid,13.33,2845.58,342.45,60.69
Uttar Pradesh,rice,Rabi,7.79,592.18,221.97,45.61
Maharashtra,ginger,Zaid,8.43,487.0,98.14,32.86
Andhra Pradesh,tea,Rabi,18.41,2163.92,102.96,45.83
Kerala,turmeric,Rabi,11.07,1591.95,43.06,41.05
Madhya Pradesh,chilli,Kharif,18.24,1849.34,214.23,49.32
Assam,rice,Rabi,16.41,466.81,158.82,38.87
Odisha,rice,Kharif,18.08,848.87,113.11,42.62
Odisha,coffee,Zaid,11.35,1002.2,98.65,26.05
Assam,coffee,Rabi,2.26,450.49,282.97,30.46
Madhya Pradesh,rice,Zaid,2.55,2258.72,208.26,57.95
Karnataka,ginger,Rabi,16.49,867.97,332.91,43.84
Telangana,wheat,Rabi,14.71,1379.56,92.31,38.16
Tamil Nadu,sugarcane,Rabi,3.85,563.29,293.91,81.06
Odisha,tea,Kharif,2.29,2304.4,327.11,55.85
Madhya Pradesh,chilli,Kharif,10.78,817.65,312.47,41.01
Telangana,ginger,Kharif,14.49,2789.93,294.08,59.08
Telangana,soybean,Zaid,2.35,1417.36,146.85,37.55
Haryana,sugarcane,Kharif,11.26,1977.7,125.27,93.65
Assam,tea,Kharif,8.6,1584.35,109.41,36.21
Kerala,rice,Zaid,11.53,1897.07,192.65,50.18
Tamil Nadu,rice,Zaid,8.58,768.48,254.05,42.48
Uttar Pradesh,ginger,Kharif,5.87,2200.51,117.93,47.1
Uttar Pradesh,wheat,Kharif,14.31,309.26,213.97,47.74
Madhya Pradesh,tea,Rabi,10.82,1979.37,84.21,36.58
Karnataka,soybean,Kharif,4.37,994.96,125.9,37.89
Madhya Pradesh,sugarcane,Zaid,14.66,2932.03,66.67,95.11
Kerala,pulses,Zaid,14.97,2025.34,47.25,37.3
Maharashtra,millet,Kharif,17.28,2058.31,334.62,52.22
Assam,coffee,Kharif,9.26,602.57,243.8,28.89
Maharashtra,soybean,Rabi,9.08,1948.14,254.52,49.08
Bihar,pulses,Zaid,3.15,730.7,190.38,33.79
Odisha,chilli,Rabi,15.76,1725.53,118.85,37.3
Andhra Pradesh,turmeric,Rabi,9.26,2192.66,82.77,49.76
Uttar Pradesh,ginger,Rabi,15.7,584.19,172.78,38.82
Rajasthan,cumin,Kharif,10.44,2962.31,161.4,41.57
Karnataka,cotton,Kharif,18.18,1131.52,167.27,34.95
Uttar Pradesh,sugarcane,Rabi,2.75,1208.12,342.1,92.73
Maharashtra,cumin,Rabi,7.52,1690.1,254.71,41.34
Tamil Nadu,turmeric,Rabi,9.43,2664.18,224.01,56.5
Telangana,rice,Zaid,4.69,2717.43,195.94,58.94
Odisha,sugarcane,Rabi,17.07,2859.44,177.55,98.94
Haryana,ginger,Kharif,14.38,2997.55,145.74,54.42
Bihar,pulses,Kharif,4.67,1657.55,349.58,40.08
West Bengal,coffee,Rabi,16.89,2144.15,216.31,44.58
Bihar,cotton,Zaid,10.95,672.64,45.49,32.26
Haryana,rice,Zaid,2.87,2740.34,231.76,62.8
Bihar,pulses,Zaid,19.88,1433.16,298.28,40.63
Assam,coriander,Zaid,19.45,2436.94,282.06,42.56
Assam,turmeric,Rabi,1.87,1621.07,228.27,51.29
Odisha,coffee,Rabi,5.53,855.7,43.37,24.16
